code,name,value_range,options,candidate_map,依据
BASIC_001,主体注册名称,企业/合作社/家庭农场/个体户全称,企业 / 合作社 / 家庭农场 / 个体户全称,"{""企业"": 100, ""合作社"": 75, ""家庭农场"": 50, ""个体户全称"": 25}",启发生成（需人工审核）
BASIC_012,近一年涉诉/行政处罚记录,是/否,是 / 否,"{""是"": 100, ""否"": 25}",启发生成（需人工审核）
BASIC_013,当前被列为失信被执行人,是/否（中国执行信息公开网）,是 / 否,"{""是"": 100, ""否"": 25}",启发生成（需人工审核）
BASIC_014,近两年存在重大税收违法行为,是/否,是 / 否,"{""是"": 100, ""否"": 25}",启发生成（需人工审核）
BASIC_015,存在严重环保处罚且未整改,是/否,是 / 否,"{""是"": 100, ""否"": 25}",启发生成（需人工审核）
BASIC_016,征信存在“连三累六”记录,是/否（连续3次逾期/累计6次）,是 / 否,"{""是"": 100, ""否"": 25}",启发生成（需人工审核）
BASIC_017,实际控制人涉及刑事案件,是/否,是 / 否,"{""是"": 100, ""否"": 25}",启发生成（需人工审核）
BASIC_030,现金流季节性波动系数,旺季月均收入/淡季月均收入（≥1），适用于种植/加工/流通等季节性行业,旺季月均收入 / 淡季月均收入，适用于种植 / 加工 / 流通等季节性行业,"{""旺季月均收入"": 100, ""淡季月均收入，适用于种植"": 75, ""加工"": 50, ""流通等季节性行业"": 25}",启发生成（需人工审核）
01_01,与龙头企业长期合作协议,是否与龙头企业签订长期购销/合作协议,是否与龙头企业签订长期购销 / 合作协议,"{""是否与龙头企业签订长期购销"": 100, ""合作协议"": 25}",启发生成（需人工审核）
01_07,年度种养物资投入,种子/饲料/化肥等采购额,种子 / 饲料 / 化肥等采购额,"{""种子"": 100, ""饲料"": 62, ""化肥等采购额"": 25}",启发生成（需人工审核）
01_11,黑土地保护性耕作面积,免耕/少耕/秸秆覆盖还田实施面积（黑龙江补助约35-60元/亩、吉林最高约80元/亩，以当年官方公示为准）,免耕 / 少耕 / 秸秆覆盖还田实施面积,"{""免耕"": 100, ""少耕"": 62, ""秸秆覆盖还田实施面积"": 25}",启发生成（需人工审核）
01_12,土地流转面积,流转/承包土地面积（不含自有）,流转 / 承包土地面积,"{""流转"": 100, ""承包土地面积"": 25}",启发生成（需人工审核）
01_14,农业社会化服务覆盖率,接受农机/植保/托管等社会化服务面积占比,接受农机 / 植保 / 托管等社会化服务面积占比,"{""接受农机"": 100, ""植保"": 62, ""托管等社会化服务面积占比"": 25}",启发生成（需人工审核）
011_05,粮经种植结构,粮食为主/经济作物为主/混合,粮食为主 / 经济作物为主 / 混合,,中性/无配置
0111_01,主要谷物播种面积,水稻/小麦/玉米等播种面积,水稻 / 小麦 / 玉米等播种面积,"{""水稻"": 100, ""小麦"": 62, ""玉米等播种面积"": 25}",启发生成（需人工审核）
0111_10,轮作休耕补贴金额,轮作/休耕试点补贴到账（东北近年参考：轮作约150-200元/亩、休耕约500-800元/亩·季，以当年官方公示为准）,轮作 / 休耕试点补贴到账,"{""轮作"": 100, ""休耕试点补贴到账"": 25}",启发生成（需人工审核）
0111_13,粮食烘干仓储能力,自有+租赁烘干塔/粮仓有效容量（秋收后粮食安全存储关键）,自有+租赁烘干塔 / 粮仓有效容量,"{""自有+租赁烘干塔"": 100, ""粮仓有效容量"": 25}",启发生成（需人工审核）
0111_0111_03,稻谷单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0111_0111_04,稻谷良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0111_0111_05,稻谷订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0111_0112_03,小麦单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
